Date,Address,Name,Class,Archetype,Expansion,DeckScore,Card1,Card2,Card3,Card4,Card5,Card6,Card7,Card8,Card9,Card10,Card11,Card12,Card13,Card14,Card15,Card16,Card17,Card18,Card19,Card20,Card21,Card22,Card23,Card24,Card25,Card26,Card27,Card28,Card29,Card30,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Wins,Bucket1,Bucket2
2015-01-05,https://www.heartharena.com/arena-run/6xy1ec,6xy1ec,Priest,Mid-Range,GvG,67.5,Abusive Sergeant,Holy Smite,Mind Vision,Northshire Cleric,Power Word: Shield,Acidic Swamp Ooze,Haunted Creeper,Mad Bomber,Shadow Word: Pain,Shrinkmeister,Youthful Brewmaster,Dark Cultist,Flesheating Ghoul,Injured Blademaster,Shadow Word: Death,Velen's Chosen,Burly Rockjaw Trogg,Kezan Mystic,Mechanical Yeti,Sen'jin Shieldmasta,Holy Nova,Stampeding Kodo,Upgraded Repair Bot,Boulderfist Ogre,Sunwalker,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,2,2.0,1.0,1.0,1.0,,,,,,10,2,High
2015-01-06,https://www.heartharena.com/arena-run/ii1q3e,ii1q3e,Druid,Mid-Range,GvG,60.3,Zombie Chow,Bloodsail Raider,Bluegill Warrior,Faerie Dragon,Haunted Creeper,Mana Addict,Mark of the Wild,Youthful Brewmaster,Jungle Panther,Savage Roar,Scarlet Crusader,Wild Growth,Ancient Brewmaster,Keeper of the Grove,Mechanical Yeti,Piloted Shredder,Spellbreaker,Violet Teacher,Frostwolf Warlord,Spiteful Smith,Starfall,Stormpike Commando,Stranglethorn Tiger,Dark Wispers,Frost Elemental,Starfire,Force-Tank MAX,,,,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,10,2,High
2015-01-06,https://www.heartharena.com/arena-run/y5ktdw,y5ktdw,Warrior,Tempo,GvG,63.9,Bloodsail Raider,Cleave,Cruel Taskmaster,Execute,Heroic Strike,Micro Machine,Puddlestomper,Ship's Cannon,Slam,Fiery War Axe,Mind Control Tech,Ogre Brute,Scarlet Crusader,Shade of Naxxramas,Spider Tank,Ancient Brewmaster,Burly Rockjaw Trogg,Death's Bite,Kor'kron Elite,Mortal Strike,Piloted Shredder,Arcanite Reaper,Azure Drake,Ravenholdt Assassin,Sea Giant,,,,,,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,6,1,Low
2015-01-07,https://www.heartharena.com/arena-run/0tmhf6,0tmhf6,Shaman,Aggro-Control,GvG,65.4,Forked Lightning,Worgen Infiltrator,Crackle,Crazed Alchemist,Haunted Creeper,Loot Hoarder,Micro Machine,Rockbiter Weapon,Stormforged Axe,Whirling Zap-o-matic,Windfury,Dancing Swords,Feral Spirit,Imp Master,Mind Control Tech,Ogre Brute,Powermace,Unbound Elemental,Burly Rockjaw Trogg,Hex,Lost Tallstrider,Piloted Shredder,Bloodlust,Frostwolf Warlord,Silver Hand Knight,Spectral Knight,Fire Elemental,Sunwalker,,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,3,0,Low
2015-01-10,https://www.heartharena.com/arena-run/2dg437,2dg437,Hunter,Classic Aggro,GvG,65.3,Tracking,Webspinner,Zombie Chow,Crazed Alchemist,Freezing Trap,Glaivezooka,Haunted Creeper,Hunter's Mark,Micro Machine,Puddlestomper,Animal Companion,Kill Command,Metaltooth Leaper,Mind Control Tech,Scarlet Crusader,Unleash the Hounds,Wolfrider,Ancient Brewmaster,Houndmaster,Piloted Shredder,Sen'jin Shieldmasta,Silvermoon Guardian,Gadgetzan Auctioneer,Mogor the Ogre,Savannah Highmane,Ragnaros the Firelord,,,,,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,9,2,High
2015-01-16,https://www.heartharena.com/arena-run/36ks0t,36ks0t,Druid,Mid-Range,GvG,60.4,Claw,Zombie Chow,Acidic Swamp Ooze,Annoy-o-Tron,Anodized Robo Cub,Loot Hoarder,Mana Wraith,Power of the Wild,Demolisher,Harvest Golem,Mark of Nature,Mind Control Tech,Savage Roar,Arcane Nullifier X-21,Chillwind Yeti,Mogu'shan Warden,Poison Seeds,Spellbreaker,Stormwind Knight,Druid of the Claw,Force of Nature,Spectral Knight,Boulderfist Ogre,Stormwind Champion,Ragnaros the Firelord,,,,,,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1.0,1.0,2.0,1.0,,,,,,2,0,Low
2015-02-26,https://www.heartharena.com/arena-run/pbo2l6,pbo2l6,Warrior,Aggro-Control,GvG,69.4,Zombie Chow,Bloodsail Raider,Cleave,Crazed Alchemist,Explosive Sheep,Gilblin Stalker,Knife Juggler,Fiery War Axe,Frothing Berserker,Ironfur Grizzly,Scarlet Crusader,Shattered Sun Cleric,Warsong Commander,Arathi Weaponsmith,Chillwind Yeti,Death's Bite,Piloted Shredder,Sen'jin Shieldmasta,Spellbreaker,Salty Dog,Silver Hand Knight,Lord of the Arena,Piloted Sky Golem,Force-Tank MAX,,,,,,,1,1,1,2,1,1,1,2,3,1,1,1,1,2,1,2,1,1,1,1,1,1.0,1.0,1.0,,,,,,,5,1,Low
2015-02-26,https://www.heartharena.com/arena-run/18670t,18670t,Priest,Mid-Range,GvG,63.2,Holy Smite,Northshire Cleric,Acidic Swamp Ooze,Bluegill Warrior,Explosive Sheep,Haunted Creeper,Kobold Geomancer,Shadow Word: Pain,Shrinkmeister,Acolyte of Pain,Dark Cultist,Emperor Cobra,Injured Blademaster,Jungle Panther,Shadow Word: Death,Spider Tank,Burly Rockjaw Trogg,Defender of Argus,Gnomish Inventor,Bomb Lobber,Frostwolf Warlord,Holy Nova,Venture Co. Mercenary,Argent Commander,Boulderfist Ogre,,,,,,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,6,1,Low
2015-02-27,https://www.heartharena.com/arena-run/j56f29,j56f29,Paladin,Classic Aggro,GvG,65.3,Clockwork Gnome,Acidic Swamp Ooze,Bloodsail Raider,Mechwarper,Micro Machine,Harvest Golem,Muster for Battle,Raid Leader,Scarlet Purifier,Shattered Sun Cleric,Tinkertown Technician,Burly Rockjaw Trogg,Chillwind Yeti,Dark Iron Dwarf,Equality,Hammer of Wrath,Stormwind Knight,Truesilver Champion,Bomb Lobber,Cobalt Guardian,Darkscale Healer,Silver Hand Knight,Spectral Knight,Boulderfist Ogre,Stormwind Champion,,,,,,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1.0,1.0,1.0,1.0,,,,,,10,2,High
2015-02-27,https://www.heartharena.com/arena-run/dv18vo,dv18vo,Warlock,Classic Aggro,GvG,60.3,Blood Imp,Flame Imp,Mortal Coil,Power Overwhelming,Soulfire,Worgen Infiltrator,Darkbomb,Mad Bomber,Ship's Cannon,Stonesplinter Trogg,Succubus,Sunfury Protector,Youthful Brewmaster,Drain Life,Goblin Sapper,Jungle Panther,Void Terror,Burly Rockjaw Trogg,Hellfire,Spellbreaker,Twilight Drake,Antique Healbot,Booty Bay Bodyguard,Doomguard,Floating Watcher,Silver Hand Knight,Spiteful Smith,Dread Infernal,Stormwind Champion,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6,1,Low
