Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
400.0,127.0,9e-05,0.79,233.0,8e-05,0.47,0.1,0.4195859730243683
90.0,170.0,0.2,0.38,171.0,0.003,0.63,8e-05,0.5143312215805054
300.0,234.0,0.004,0.26,263.0,0.005,0.42,0.002,0.4777069985866546
8.0,66.0,0.006,0.62,19.0,6.000000000000002e-05,0.46,0.004,0.4944267570972442
6.0,50.0,0.0,0.75,4.0,0.01,0.74,7.000000000000003e-06,0.4713375866413117
1.0,79.0,0.04,0.32,132.0,0.006999999999999999,0.38,0.001,0.5071656107902527
500.0,262.0,0.0,0.43,147.0,0.004,0.04,0.006,0.4777069985866546
400.0,98.0,2e-05,0.19,221.0,0.0007,0.4,0.5,0.412420392036438
100.0,24.0,0.2,0.13,28.0,0.006999999999999999,0.33,0.005,0.4426751732826233
100.0,66.0,5e-05,0.59,139.0,0.4,0.74,8e-06,0.4530254900455475
400.0,178.0,0.9,0.59,116.0,0.001,0.3,0.003,0.4832802414894104
4.0,232.0,0.8,0.36,270.0,0.5,0.5,0.0002,0.4132165610790253
4.0,288.0,0.1,0.78,182.0,5e-05,0.07,0.0009000000000000002,0.4633758068084717
500.0,251.0,0.004,0.16,68.0,0.03,0.79,0.06,0.5063694119453429
8.0,70.0,0.6000000000000001,0.47,72.0,0.005,0.26,3.000000000000001e-05,0.5063694119453429
200.0,298.0,0.006,0.05,229.0,0.7000000000000001,0.32,0.0008,0.5063694119453429
20.0,142.0,0.09,0.38,62.0,0.009000000000000001,0.49,0.04,0.412420392036438
3.0,187.0,0.0008,0.8,29.0,0.001,0.36,1e-06,0.4514331221580506
60.0,222.0,0.1,0.73,6.0,0.004,0.07,0.009000000000000001,0.412420392036438
7.0,226.0,0.04,0.53,258.0,0.006999999999999999,0.41,0.06,0.38136941194534296
6.0,134.0,0.0,0.01,84.0,0.00030000000000000003,0.53,3.000000000000001e-05,0.4777069985866546
60.0,38.0,0.004,0.29,15.0,4e-05,0.49,6e-06,0.4681528806686402
4.0,65.0,0.30000000000000004,0.53,239.0,0.0006000000000000001,0.79,0.03,0.4036624133586884
700.0,286.0,0.0001,0.54,245.0,0.8,0.43,0.005,0.4872611463069916
30.0,22.0,0.5,0.6,6.0,2e-05,0.3,0.4,0.3885350227355957
600.0,145.0,0.0,0.17,262.0,0.09,0.09,0.8,0.412420392036438
700.0,170.0,0.009000000000000001,0.09,220.0,0.7000000000000001,0.22,0.002,0.5191082954406738
1.0,11.0,0.006999999999999999,0.06,61.0,0.0004,0.4,0.09,0.3925159275531769
800.0,62.0,4e-05,0.28,234.0,1e-05,0.58,5e-05,0.5047770738601685
600.0,129.0,0.005,0.36,49.0,0.0007,0.65,3.000000000000001e-05,0.4840764403343201
20.0,201.0,0.5,0.25,190.0,0.0007,0.09,4e-06,0.512738823890686
600.0,230.0,0.07,0.07,297.0,0.0005,0.12,6e-06,0.4426751732826233
200.0,189.0,0.003,0.75,254.0,9e-05,0.79,0.08,0.4156050980091095
2.0,187.0,0.1,0.72,286.0,0.06,0.26,0.003,0.412420392036438
40.0,115.0,0.04,0.03,244.0,0.0,0.42,0.6000000000000001,0.412420392036438
80.0,41.0,6.000000000000002e-05,0.41,250.0,2e-05,0.15,0.03,0.4968152940273285
3.0,54.0,0.0,0.78,264.0,0.0,0.26,0.003,0.493630588054657
40.0,130.0,0.5,0.72,277.0,0.002,0.06,0.1,0.412420392036438
500.0,215.0,0.0,0.23,142.0,0.0002,0.25,0.0002,0.4713375866413117
600.0,199.0,0.008,0.53,88.0,9e-05,0.37,5e-05,0.4872611463069916
500.0,294.0,0.009000000000000001,0.22,27.0,0.04,0.04,9e-05,0.4968152940273285
7.0,161.0,0.04,0.48,164.0,0.0,0.69,0.0009000000000000002,0.4777069985866546
90.0,163.0,0.0005,0.71,268.0,0.0002,0.09,0.7000000000000001,0.412420392036438
70.0,97.0,0.0007,0.59,216.0,0.0,0.22,9e-05,0.5031847357749939
10.0,276.0,0.2,0.36,53.0,0.0005,0.34,0.5,0.4084394872188568
50.0,299.0,0.03,0.73,296.0,7.000000000000001e-05,0.4,0.008,0.4410828053951264
80.0,51.0,0.0,0.35,121.0,0.4,0.72,0.9,0.3869426846504211
30.0,14.0,0.4,0.11,98.0,0.7000000000000001,0.13,2e-06,0.420382171869278
80.0,72.0,0.5,0.31,87.0,0.03,0.46,6e-06,0.4235668778419495
9.0,58.0,3.000000000000001e-05,0.19,231.0,0.004,0.47,0.0006000000000000001,0.4235668778419495
800.0,209.0,0.002,0.65,228.0,0.9,0.07,0.9,0.412420392036438
400.0,29.0,0.00030000000000000003,0.42,158.0,0.006999999999999999,0.05,0.0004,0.4912420511245728
90.0,20.0,0.01,0.09,14.0,0.006999999999999999,0.25,0.8,0.4020700752735138
80.0,87.0,8e-05,0.29,289.0,1e-05,0.15,8e-05,0.4904458522796631
7.0,244.0,3.000000000000001e-05,0.72,144.0,0.00030000000000000003,0.07,0.07,0.4251592457294464
900.0,294.0,0.002,0.42,53.0,0.006,0.71,0.1,0.5
5.0,96.0,0.0004,0.26,274.0,7.000000000000001e-05,0.26,0.08,0.2515923678874969
800.0,64.0,9e-05,0.62,173.0,6.000000000000002e-05,0.78,1e-06,0.3909235596656799
6.0,121.0,7.000000000000001e-05,0.38,85.0,0.03,0.26,0.0006000000000000001,0.4777069985866546
30.0,72.0,4e-05,0.11,158.0,0.006999999999999999,0.51,0.6000000000000001,0.412420392036438
7.0,221.0,0.05,0.48,137.0,0.0004,0.19,0.005,0.412420392036438
40.0,282.0,9e-05,0.64,189.0,0.0001,0.31,0.006,0.4458598792552948
400.0,282.0,0.7000000000000001,0.2,187.0,0.01,0.13,6e-06,0.4243630468845368
700.0,118.0,0.5,0.13,112.0,0.00030000000000000003,0.63,0.003,0.5
6.0,24.0,0.006999999999999999,0.37,67.0,0.7000000000000001,0.04,0.02,0.412420392036438
30.0,39.0,0.0007,0.69,33.0,0.0008,0.63,4e-06,0.4331210255622864
10.0,153.0,0.0004,0.79,130.0,0.00030000000000000003,0.63,0.6000000000000001,0.412420392036438
50.0,296.0,0.07,0.34,93.0,1e-05,0.17,0.004,0.4872611463069916
80.0,10.0,0.30000000000000004,0.61,219.0,0.1,0.29,0.009000000000000001,0.4132165610790253
9.0,133.0,0.006999999999999999,0.48,281.0,0.08,0.47,1e-06,0.4673566818237305
200.0,109.0,0.7000000000000001,0.45,59.0,0.00030000000000000003,0.63,0.2,0.4164012670516968
200.0,176.0,0.06,0.1,296.0,0.004,0.29,0.09,0.4148089289665222
400.0,156.0,7.000000000000001e-05,0.2,73.0,0.006,0.48,0.0002,0.4649681448936462
1.0,162.0,0.01,0.24,247.0,0.8,0.48,6e-06,0.4386942684650421
90.0,9.0,0.0009000000000000002,0.34,88.0,0.0009000000000000002,0.73,4e-06,0.43073248863220215
90.0,226.0,9e-05,0.34,91.0,0.2,0.23,0.9,0.412420392036438
400.0,213.0,0.01,0.55,61.0,0.001,0.18,0.009000000000000001,0.4609872698783874
800.0,11.0,0.5,0.5,137.0,0.0004,0.56,3e-06,0.3845541477203369
600.0,251.0,0.06,0.1,142.0,0.009000000000000001,0.03,0.0004,0.5063694119453429
70.0,25.0,0.0009000000000000002,0.18,195.0,0.5,0.47,0.02,0.4593949019908905
80.0,78.0,0.05,0.04,265.0,0.009000000000000001,0.37,2e-06,0.4410828053951264
6.0,260.0,0.0,0.14,225.0,0.6000000000000001,0.73,8e-06,0.5159235596656799
90.0,205.0,0.0,0.02,60.0,0.01,0.41,0.0004,0.4697452187538147
