Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
400.0,127.0,9e-05,0.79,233.0,8e-05,0.47,0.1,0.419585973024368
239.0,259.0,0.0009000000000000002,0.07,324.0,9e-05,0.19,0.0009000000000000002,0.5759493708610535
11.0,125.0,0.2,0.02,389.0,0.01,0.7,0.07,0.4556961953639984
339.0,356.0,0.05,0.68,43.0,9e-05,0.18,0.006999999999999999,0.594936728477478
335.0,467.0,0.008,0.45,62.0,0.8,0.07,5e-05,0.5601266026496887
71.0,333.0,0.005,0.5,204.0,0.0,0.19,0.06,0.4556961953639984
117.0,252.0,7.000000000000001e-05,0.14,73.0,0.03,0.72,0.0009000000000000002,0.5759493708610535
330.0,116.0,0.04,0.28,285.0,0.0002,0.79,5e-06,0.4968354403972626
420.0,307.0,6.000000000000002e-05,0.21,413.0,0.04,0.66,6e-06,0.4810126721858978
364.0,313.0,3.000000000000001e-05,0.16,89.0,8e-05,0.05,6.000000000000002e-05,0.5189873576164246
267.0,398.0,8e-05,0.23,226.0,2e-05,0.66,0.8,0.4556961953639984
354.0,61.0,0.0,0.56,194.0,7.000000000000001e-05,0.77,0.7000000000000001,0.4857142865657806
223.0,143.0,0.00030000000000000003,0.31,115.0,0.0007,0.8,0.008,0.5696202516555786
229.0,450.0,0.04,0.37,264.0,0.0001,0.28,0.6000000000000001,0.4556961953639984
144.0,359.0,0.0,0.38,486.0,7.000000000000001e-05,0.29,7.000000000000001e-05,0.5696202516555786
121.0,484.0,0.003,0.05,433.0,0.0004,0.45,0.4,0.461904764175415
475.0,350.0,7.000000000000001e-05,0.6,402.0,0.0006000000000000001,0.33,8e-05,0.5917721390724182
392.0,128.0,0.005,0.53,490.0,0.0,0.58,2e-06,0.4556961953639984
478.0,230.0,0.0,0.41,206.0,0.0,0.39,0.4,0.4556961953639984
389.0,473.0,0.05,0.77,395.0,3.000000000000001e-05,0.8,2e-06,0.4905063211917877
106.0,301.0,0.0002,0.16,251.0,0.4,0.47,0.0002,0.5727847814559937
365.0,390.0,0.8,0.26,133.0,0.00030000000000000003,0.54,0.0009000000000000002,0.5727847814559937
235.0,472.0,0.07,0.22,104.0,0.5,0.57,0.0005,0.5094936490058899
290.0,90.0,0.0002,0.34,289.0,0.0002,0.75,7.000000000000003e-06,0.511904776096344
397.0,198.0,0.0,0.08,346.0,8e-05,0.46,0.0005,0.5791139006614685
490.0,366.0,0.01,0.79,153.0,0.006,0.73,1e-05,0.5198412537574768
345.0,88.0,0.09,0.31,470.0,0.0001,0.04,0.05,0.5601266026496887
305.0,56.0,2e-05,0.63,433.0,0.02,0.43,3e-06,0.474683552980423
366.0,364.0,0.9,0.78,18.0,0.06,0.17,0.08,0.5174603462219238
341.0,484.0,0.008,0.02,387.0,0.006999999999999999,0.01,0.02,0.594936728477478
121.0,246.0,8e-05,0.73,196.0,0.0006000000000000001,0.45,3e-06,0.5348101258277893
459.0,206.0,6.000000000000002e-05,0.65,331.0,6.000000000000002e-05,0.46,7.000000000000003e-06,0.4936708807945252
192.0,129.0,6.000000000000002e-05,0.14,75.0,0.004,0.0,0.30000000000000004,0.5126582384109497
424.0,425.0,0.02,0.14,453.0,0.0005,0.74,3e-06,0.5
205.0,141.0,0.30000000000000004,0.02,173.0,3.000000000000001e-05,0.04,9e-05,0.5537974834442139
145.0,451.0,0.09,0.34,148.0,0.30000000000000004,0.35,0.006,0.5198412537574768
60.0,459.0,0.002,0.37,168.0,0.008,0.08,6e-06,0.5917721390724182
363.0,404.0,0.6000000000000001,0.38,448.0,0.05,0.26,0.9,0.4556961953639984
492.0,41.0,0.1,0.76,436.0,0.08,0.71,0.0002,0.4841772019863129
314.0,349.0,0.04,0.09,147.0,0.05,0.62,0.02,0.5365079641342163
164.0,444.0,0.003,0.61,391.0,0.01,0.7,0.7000000000000001,0.5214285850524902
453.0,385.0,1e-05,0.47,73.0,0.30000000000000004,0.66,0.09,0.5791139006614685
226.0,101.0,4e-05,0.48,190.0,0.0,0.28,0.05,0.4785714149475098
59.0,158.0,0.004,0.36,215.0,0.005,0.57,0.8,0.4556961953639984
294.0,55.0,0.004,0.12,481.0,0.004,0.76,0.30000000000000004,0.4912698268890381
116.0,454.0,0.6000000000000001,0.09,351.0,0.30000000000000004,0.02,0.04,0.5293650627136229
188.0,66.0,0.0004,0.45,121.0,0.0,0.05,0.9,0.4556961953639984
212.0,476.0,0.003,0.01,476.0,0.005,0.5,3.000000000000001e-05,0.5396825671195984
73.0,212.0,3.000000000000001e-05,0.09,327.0,0.0007,0.74,4e-05,0.5158227682113647
451.0,106.0,5e-05,0.26,301.0,0.7000000000000001,0.35,0.003,0.5664557218551636
230.0,335.0,0.0,0.03,462.0,0.06,0.25,0.09,0.4722222089767456
396.0,115.0,0.08,0.34,346.0,0.06,0.46,0.1,0.5253968238830566
284.0,306.0,5e-05,0.52,399.0,0.1,0.01,0.1,0.461904764175415
426.0,243.0,7.000000000000001e-05,0.69,301.0,7.000000000000001e-05,0.62,3.000000000000001e-05,0.5917721390724182
91.0,76.0,0.9,0.69,59.0,0.0,0.06,0.4,0.461904764175415
35.0,122.0,0.4,0.05,158.0,0.0002,0.6,0.9,0.4706349074840546
318.0,143.0,0.09,0.22,135.0,0.0,0.05,3e-06,0.4556961953639984
372.0,318.0,0.7000000000000001,0.73,230.0,8e-05,0.21,0.01,0.5632911324501038
206.0,125.0,0.4,0.73,269.0,4e-05,0.72,2e-06,0.5325396656990051
188.0,286.0,0.006,0.56,348.0,0.05,0.02,9e-05,0.5039682388305664
63.0,454.0,1e-05,0.05,119.0,0.004,0.76,9e-06,0.547468364238739
44.0,247.0,0.0008,0.23,395.0,0.5,0.52,4e-05,0.5727847814559937
47.0,442.0,0.008,0.17,191.0,9e-05,0.18,0.006999999999999999,0.6044303774833679
367.0,290.0,0.0,0.08,68.0,0.5,0.34,0.2,0.5134920477867126
467.0,251.0,0.07,0.75,244.0,0.30000000000000004,0.78,0.02,0.5103174448013306
369.0,457.0,0.5,0.58,14.0,0.0001,0.42,3.000000000000001e-05,0.4715189933776856
171.0,194.0,0.0008,0.46,72.0,0.005,0.14,0.008,0.594936728477478
73.0,223.0,0.006,0.28,215.0,2e-05,0.65,0.009000000000000001,0.5664557218551636
170.0,186.0,0.0,0.64,455.0,0.5,0.26,0.2,0.461904764175415
245.0,245.0,0.0006000000000000001,0.45,113.0,0.03,0.18,9e-06,0.452531635761261
147.0,279.0,0.8,0.0,496.0,0.03,0.26,0.0004,0.4810126721858978
430.0,254.0,0.0005,0.67,94.0,3.000000000000001e-05,0.58,0.001,0.5696202516555786
133.0,271.0,0.8,0.35,227.0,0.06,0.65,0.00030000000000000003,0.4810126721858978
87.0,131.0,0.0,0.63,49.0,9e-05,0.23,0.009000000000000001,0.6044303774833679
327.0,173.0,0.008,0.32,35.0,0.0,0.65,0.006,0.5981012582778931
462.0,56.0,0.0,0.55,120.0,0.9,0.77,4e-06,0.4778481125831604
350.0,480.0,0.004,0.78,299.0,0.04,0.13,4e-06,0.5601266026496887
38.0,332.0,0.009000000000000001,0.73,194.0,0.009000000000000001,0.72,4e-05,0.5095238089561462
422.0,126.0,0.002,0.31,453.0,0.005,0.01,8e-06,0.5284810066223145
289.0,174.0,9e-05,0.39,478.0,1e-05,0.21,4e-06,0.5506328940391539
291.0,432.0,0.008,0.56,50.0,0.008,0.24,2e-05,0.4936708807945252
412.0,232.0,0.5,0.73,174.0,0.9,0.05,1e-05,0.4778481125831604
318.0,389.0,0.00030000000000000003,0.76,447.0,0.0005,0.76,0.0005,0.5981012582778931
44.0,454.0,0.005,0.53,225.0,0.30000000000000004,0.77,0.002,0.5727847814559937
251.0,141.0,0.08,0.16,403.0,0.0002,0.01,0.009000000000000001,0.5886076092720032
464.0,294.0,1e-05,0.75,304.0,0.0006000000000000001,0.71,0.03,0.5632911324501038
230.0,42.0,0.06,0.14,82.0,0.0,0.75,0.06,0.5063291192054749
358.0,138.0,0.0,0.13,193.0,0.003,0.71,0.8,0.5222222208976746
256.0,486.0,0.9,0.24,31.0,0.0005,0.67,0.6000000000000001,0.5039682388305664
341.0,453.0,0.0001,0.45,411.0,0.2,0.57,8e-06,0.5569620132446289
419.0,301.0,0.00030000000000000003,0.57,376.0,0.002,0.39,0.03,0.5886076092720032
30.0,206.0,0.0,0.27,373.0,0.0006000000000000001,0.39,2e-06,0.4976190328598023
225.0,116.0,2e-05,0.53,138.0,0.04,0.66,4e-05,0.5443037748336792
83.0,464.0,0.008,0.11,346.0,0.06,0.45,0.008,0.5854430198669434
197.0,269.0,0.0002,0.29,312.0,0.001,0.73,0.0006000000000000001,0.5727847814559937
319.0,47.0,3.000000000000001e-05,0.02,131.0,1e-05,0.31,4e-06,0.5221518874168396
162.0,257.0,0.0,0.29,396.0,0.0004,0.56,0.0001,0.5664557218551636
231.0,140.0,0.0,0.61,449.0,0.8,0.03,0.9,0.4556961953639984
357.0,164.0,1e-05,0.77,456.0,0.008,0.18,0.05,0.4556961953639984
430.0,42.0,0.09,0.21,211.0,0.09,0.09,0.0002,0.5206349492073059
463.0,500.0,0.05,0.32,167.0,0.008,0.7,0.0006000000000000001,0.5886076092720032
496.0,210.0,0.9,0.45,179.0,0.00030000000000000003,0.0,0.01,0.5791139006614685
314.0,77.0,0.7000000000000001,0.78,375.0,0.0004,0.51,0.06,0.5269841551780701
319.0,283.0,0.09,0.77,31.0,0.0005,0.49,0.06,0.511904776096344
144.0,409.0,0.008,0.62,291.0,0.08,0.31,0.06,0.5333333611488342
311.0,221.0,0.0,0.66,456.0,0.30000000000000004,0.58,0.002,0.5886076092720032
474.0,46.0,0.09,0.64,308.0,0.001,0.14,0.006,0.5981012582778931
174.0,327.0,0.0001,0.09,11.0,5e-05,0.12,0.04,0.6044303774833679
437.0,168.0,0.0008,0.72,483.0,0.0004,0.6,0.006999999999999999,0.5854430198669434
127.0,142.0,0.5,0.12,135.0,0.001,0.48,0.04,0.5285714268684387
78.0,405.0,0.0008,0.18,321.0,2e-05,0.06,0.00030000000000000003,0.5759493708610535
170.0,109.0,0.0,0.37,57.0,0.00030000000000000003,0.11,0.0005,0.5632911324501038
446.0,127.0,8e-05,0.22,117.0,0.0009000000000000002,0.07,0.1,0.461904764175415
228.0,144.0,0.004,0.42,199.0,0.0005,0.15,0.6000000000000001,0.4556961953639984
41.0,268.0,0.9,0.73,184.0,0.0001,0.0,1e-06,0.5126582384109497
120.0,411.0,0.00030000000000000003,0.32,54.0,0.08,0.77,0.08,0.5142857432365417
322.0,338.0,0.002,0.41,332.0,0.0,0.8,9e-05,0.5791139006614685
171.0,436.0,5e-05,0.14,178.0,9e-05,0.79,0.2,0.5253968238830566
281.0,169.0,6.000000000000002e-05,0.2,359.0,0.06,0.47,0.7000000000000001,0.4556961953639984
403.0,429.0,4e-05,0.04,321.0,0.0005,0.6,0.0002,0.6012658476829529
500.0,41.0,0.0,0.47,321.0,0.0001,0.46,0.001,0.5759493708610535
208.0,130.0,0.0,0.42,401.0,0.03,0.18,0.002,0.5791139006614685
188.0,493.0,0.9,0.55,135.0,0.04,0.63,0.003,0.4683544337749481
163.0,164.0,0.02,0.67,64.0,0.08,0.16,4e-05,0.5460317730903625
429.0,217.0,0.08,0.21,42.0,0.0004,0.51,0.1,0.4841772019863129
440.0,411.0,9e-05,0.07,407.0,0.05,0.39,0.5,0.4626984000205994
474.0,244.0,0.00030000000000000003,0.37,8.0,0.0007,0.53,0.003,0.5822784900665283
11.0,470.0,0.6000000000000001,0.39,476.0,0.09,0.72,0.07,0.4556961953639984
15.0,86.0,0.006999999999999999,0.31,421.0,0.0004,0.41,0.00030000000000000003,0.5981012582778931
350.0,340.0,0.001,0.07,44.0,0.005,0.32,0.005,0.5854430198669434
267.0,179.0,0.8,0.64,199.0,0.0007,0.21,0.0005,0.4888888895511627
184.0,316.0,0.002,0.66,427.0,0.6000000000000001,0.7,0.002,0.5917721390724182
416.0,374.0,7.000000000000001e-05,0.63,214.0,6.000000000000002e-05,0.35,0.00030000000000000003,0.5696202516555786
174.0,159.0,0.0,0.2,120.0,0.7000000000000001,0.29,3.000000000000001e-05,0.5284810066223145
494.0,400.0,0.02,0.4,435.0,0.09,0.62,0.08,0.5111111402511597
499.0,258.0,0.0008,0.36,191.0,0.03,0.65,0.07,0.594936728477478
202.0,261.0,0.7000000000000001,0.19,252.0,0.6000000000000001,0.71,7.000000000000001e-05,0.4556961953639984
459.0,395.0,0.30000000000000004,0.79,158.0,1e-05,0.01,0.008,0.5854430198669434
2.0,142.0,0.06,0.18,465.0,0.0007,0.02,9e-05,0.594936728477478
144.0,449.0,5e-05,0.55,79.0,0.009000000000000001,0.03,0.004,0.5854430198669434
434.0,188.0,0.8,0.13,429.0,0.004,0.64,0.05,0.5063492059707642
233.0,198.0,0.0009000000000000002,0.38,22.0,0.0005,0.02,0.8,0.5214285850524902
209.0,397.0,0.0,0.12,230.0,0.0,0.12,0.7000000000000001,0.4556961953639984
5.0,282.0,0.0,0.68,82.0,0.0004,0.43,9e-06,0.5284810066223145
140.0,449.0,0.08,0.29,118.0,0.0,0.25,3.000000000000001e-05,0.594936728477478
169.0,439.0,0.0,0.33,499.0,0.4,0.53,0.8,0.4556961953639984
411.0,260.0,0.08,0.23,294.0,0.05,0.7,0.0008,0.5443037748336792
115.0,185.0,0.06,0.65,103.0,0.4,0.37,0.004,0.4556961953639984
71.0,491.0,0.7000000000000001,0.38,12.0,6.000000000000002e-05,0.65,5e-06,0.4849206209182739
101.0,456.0,0.0,0.14,336.0,0.008,0.58,0.0001,0.5759493708610535
72.0,265.0,0.0005,0.51,478.0,0.003,0.14,0.02,0.5759493708610535
299.0,76.0,0.09,0.0,442.0,0.0008,0.5,0.06,0.5253164768218994
38.0,295.0,0.0002,0.59,83.0,0.7000000000000001,0.3,7.000000000000001e-06,0.4869151413440704
99.0,325.0,0.7000000000000001,0.09,46.0,5e-05,0.25,6.0000000000000015e-05,0.4964314103126526
497.0,314.0,0.03,0.18,290.0,0.08,0.73,0.07,0.5003964900970459
138.0,144.0,0.01,0.48,297.0,0.008,0.18,9e-06,0.5917721390724182
138.0,349.0,0.0009000000000000002,0.0,271.0,0.0008,0.45,0.0007,0.5886076092720032
63.0,167.0,0.0,0.05,144.0,0.0004,0.12,0.03,0.5601266026496887
117.0,263.0,0.006,0.02,423.0,7.000000000000001e-05,0.06,0.003,0.594936728477478
279.0,301.0,0.005,0.19,339.0,0.5,0.64,0.004,0.594936728477478
465.0,211.0,8e-05,0.75,498.0,0.006999999999999999,0.46,0.9,0.4678826332092285
58.0,120.0,0.003,0.4,186.0,0.001,0.09,0.006999999999999999,0.5917721390724182
371.0,423.0,1e-05,0.7,452.0,0.5,0.27,3.0000000000000008e-05,0.5632911324501038
369.0,343.0,0.2,0.61,468.0,6.0000000000000015e-05,0.53,0.0006000000000000001,0.5727847814559937
65.0,214.0,8e-05,0.09,358.0,0.006999999999999999,0.12,0.03,0.5822784900665283
453.0,71.0,0.008,0.17,198.0,0.2,0.17,0.0007,0.5664557218551636
