Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
129.0,145.0,6.000000000000002e-05,0.46,42.0,0.5,0.43,0.08,0.11874999850988388
36.0,447.0,0.09,0.07,388.0,0.0,0.53,9e-05,0.13124999403953552
383.0,239.0,0.0,0.45,307.0,0.5,0.18,0.001,0.14687499403953552
319.0,437.0,0.0,0.14,482.0,0.005,0.08,6e-06,0.140625
406.0,154.0,3.000000000000001e-05,0.17,353.0,0.002,0.38,5e-05,0.13437500596046448
143.0,237.0,0.06,0.49,460.0,7.000000000000001e-05,0.05,7.000000000000001e-05,0.13437500596046448
221.0,133.0,0.004,0.56,455.0,0.7000000000000001,0.69,1e-05,0.13437500596046448
156.0,136.0,0.0,0.11,383.0,0.07,0.52,0.0001,0.125
314.0,288.0,0.0,0.07,124.0,0.0,0.63,0.9,0.10312499850988388
61.0,476.0,0.0,0.54,445.0,7.000000000000001e-05,0.57,6e-06,0.13437500596046448
453.0,178.0,0.0007,0.42,255.0,6.000000000000002e-05,0.61,0.002,0.13124999403953552
496.0,311.0,0.0008,0.21,479.0,0.03,0.23,7.000000000000001e-05,0.14687499403953552
386.0,478.0,0.8,0.29,408.0,0.0001,0.68,6e-06,0.12187500298023225
257.0,99.0,0.0,0.57,171.0,0.0006000000000000001,0.08,0.8,0.1086786538362503
323.0,476.0,0.6000000000000001,0.72,267.0,0.05,0.18,0.9,0.10312499850988388
172.0,237.0,7.000000000000001e-05,0.32,389.0,0.02,0.4,0.0006000000000000001,0.14374999701976776
139.0,70.0,6.000000000000002e-05,0.54,220.0,0.0,0.04,0.07,0.10625000298023224
271.0,200.0,0.7000000000000001,0.7,328.0,0.5,0.76,0.0007,0.109375
186.0,154.0,0.006,0.66,213.0,0.7000000000000001,0.54,0.05,0.10312499850988388
439.0,368.0,0.0,0.77,173.0,0.0,0.36,0.6000000000000001,0.10312499850988388
131.0,465.0,2e-05,0.79,320.0,0.07,0.48,0.05,0.10625000298023224
